category,age,degree,university.country,employment.country,company.size,undergrad.achievement,undergraduate.need.to.learn,undergraduate.gpa.hired,undergraduate.gpa.proficiency,undergraduate.schoolchoice.proficiency,undergraduate.timeperiod.hired,undergraduate.timeperiod.proficiency,graduate.acheivement,graduate.need.to.learn,graduate.gpa.hired,graduate.timeperiod.hired,graduate.timeperiod.proficiency,BS.4yrExp.hired,BS.4yrExp.proficiency.rightafter,BS.4yrExp.proficiency.after1yr,MS.2yrBS.hired,MS.2yrBS.proficiency.rightafter,MS.2yrBS.proficiency.after1yr,undergraduate.gain.workExp,graudate.gain.workExp,alternatives,graduate.online.program,general.idea
,26 - 35,Bachelor's,USA,USA,"more than 10,000 people",He/She learns programming very well;He/She learns computational thinking;He/She gets credentials to get a good job,"Project Management skill;Real-world problem solving handling industry-type problems;Soft skills (communication, teamwork, etc)","I think that a high GPA is not essential, but a low GPA can discourage employers/recruiters.","I think that low GPA graduates perform badly, but from average to top GPAs you can't see much of a difference.","I think a top-tier school gives a graduate a bit of a boost, but it's not essential.",I believe most of them already have an offer before graduation/after interning,6 - 12 months,He/She learns computational thinking.;He/She learns how to be a researcher.;He/She gets credentials to get a good job.,"Project Management skill;Real-world problem solving handling industry-type problems;Soft skills (communication, teamwork, etc)","I think that a high GPA is not essential, but a low GPA can discourage employers/recruiters.",I believe most of them already have an offer before graduation/after interning.,6 -12 months,I think that the experienced candidate will stand more chances.,"I think that the experienced candidate will perform much better; better quality, and faster work.","I think that the experienced candidate will perform much better; better quality, and faster work, better promotion.",I think the BS experienced candidate will stand more chances.,"I think that the BS experienced candidate will perform much better; better quality, and faster work.","I think that the BS experienced candidate will perform much better; better quality, and faster work, better promotion.","internships, co-ops, personal projects","internships, co-ops, personal projects, work professionally before going for graduate studies",Retraining on the job.,Time. The online program gives the schedule flexibility.;Money. The online program mostly are less expensive than on-campus programs.,"Regardless of academic degree, anybody entering the workforce for the first time will need training and time to get fully proficient."
,26 - 35,"Doctorate (PhD, Doctor of Science, etc)",USA,USA,"1,000 - 10,000 people",He/She learns programming very well;He/She learns computational thinking;He/She gets credentials to get a good job,"Programming in different languages;Project Management skill;Soft skills (communication, teamwork, etc)",I think that a high GPA is totally essential to land a great first job.,I think that a high GPA is totally essential to perform fine at a first job.,I think that a top-tier school makes a graduate fundamentally better at his/her job.,3 - 6 months,12 - 24 months,"He/She learns programming very well.;He/She learns computational thinking.;He/She learns real-world problem solving handling industry-type problems.;He/She gets very good soft skills (communication, teamwork, etc).",Programming in different languages;Computational Thinking skill;Real-world problem solving handling industry-type problems,I think that a high GPA is totally essential to get a great first job.,1 - 3 months,6 -12 months,I think that the BS candidate will stand more chances.,"I think that the BS candidate will perform much better; better quality, and faster work.","I think that the experienced candidate will perform much better; better quality, and faster work, better promotion.",I think that they're more or less have equal chances of getting hired.,"I think that the BS experienced candidate will perform much better; better quality, and faster work.",They'll perform more or less the same.,work with a professor,go out in industry,Retraining on the job.;Massive Open Online Courses (MOOCs);In-person classes in non-academic institutions (e.g. Bradfield school of computer science),"Time. The online program gives the schedule flexibility.;Money. The online program mostly are less expensive than on-campus programs.;Motivation. The topic should be of high interest, not just an imposed training experience.",The MS students are more prepared than undergraduate-level students.
,36 - 45,Bachelor's,USA,USA,"1,000 - 10,000 people",I don't know/prefer not to disclose,"Programming in different languages;Project Management skill;Soft skills (communication, teamwork, etc)",I think it's not relevant at all.,"I think it's not relevant, BS GPA and first job performance are quite disconnected.",I think it's not relevant at all.,3 - 6 months,12 - 24 months,He/She learns programming very well.;He/She learns computational thinking.;He/She gets credentials to get a good job.,"Project Management skill;Real-world problem solving handling industry-type problems;Soft skills (communication, teamwork, etc)",I think it's not relevant at all.,3 - 6 months,6 -12 months,I think that the experienced candidate will stand more chances.,"I think that the experienced candidate will perform much better; better quality, and faster work.","I think that the experienced candidate will perform much better; better quality, and faster work, better promotion.",I think the BS experienced candidate will stand more chances.,"I think that the BS experienced candidate will perform much better; better quality, and faster work.","I think that the BS experienced candidate will perform much better; better quality, and faster work, better promotion.",,,I don't know/prefer not to disclose,"Time. The online program gives the schedule flexibility.;Money. The online program mostly are less expensive than on-campus programs.;Motivation. The topic should be of high interest, not just an imposed training experience.","Regardless of academic degree, anybody entering the workforce for the first time will need training and time to get fully proficient."
,26 - 35,Bachelor's,USA,USA,below 20 employees,He/She learns programming very well;He/She learns computational thinking;He/She gets credentials to get a good job,"Project Management skill;Real-world problem solving handling industry-type problems;Soft skills (communication, teamwork, etc)",I think it's not relevant at all.,"I think it's not relevant, BS GPA and first job performance are quite disconnected.","I think a top-tier school gives a graduate a bit of a boost, but it's not essential.",I don't know/prefer not to disclose.,6 - 12 months,"He/She learns programming very well.;He/She learns computational thinking.;He/She learns how to be a researcher.;He/She gets very good soft skills (communication, teamwork, etc).;He/She gets credentials to get a good job.",Project Management skill;Real-world problem solving handling industry-type problems,I think it's not relevant at all.,I believe most of them already have an offer before graduation/after interning.,3 - 6 months,I think that the experienced candidate will stand more chances.,They'll perform more or less the same.,"I think that the BS candidate will perform much better; better quality, and faster work, better promotion.",I think that they're more or less have equal chances of getting hired.,They'll perform more or less the same.,I don't know/prefer not to disclose.,Internships,"Graduate research, TA, RA",In-person classes in non-academic institutions (e.g. Bradfield school of computer science);Bootcamps,"Money. The online program mostly are less expensive than on-campus programs.;Motivation. The topic should be of high interest, not just an imposed training experience.;Career advancement. Success in the program should be a guarantee of a better position.",The MS students are more prepared than undergraduate-level students.
,18 - 25,Bachelor's,USA,USA,"more than 10,000 people",He/She learns computational thinking,"Real-world problem solving handling industry-type problems;Soft skills (communication, teamwork, etc)",I think that a high GPA is totally essential to land a great first job.,"I think that low GPA graduates perform badly, but from average to top GPAs you can't see much of a difference.","I think a top-tier school gives a graduate a bit of a boost, but it's not essential.",0 - 3 months,6 - 12 months,"He/She learns programming very well.;He/She learns computational thinking.;He/She gets very good soft skills (communication, teamwork, etc).",Real-world problem solving handling industry-type problems;Learn how to be a researcher,"I think that a high GPA is not essential, but a low GPA can discourage employers/recruiters.",1 - 3 months,6 -12 months,I think that the BS candidate will stand more chances.,They'll perform more or less the same.,They'll perform more or less the same.,I think that the MS candidate will stand more chances.,"I think that the MS candidate will perform much better; better quality, and faster work.","I think that the MS candidate will perform much better; better quality, and faster work, better promotion.",Internships,Research,Retraining on the job.,"Time. The online program gives the schedule flexibility.;Money. The online program mostly are less expensive than on-campus programs.;Motivation. The topic should be of high interest, not just an imposed training experience.;Career advancement. Success in the program should be a guarantee of a better position.","Regardless of academic degree, anybody entering the workforce for the first time will need training and time to get fully proficient."
,26 - 35,Bachelor's,USA,USA,"100 - 1,000 people",He/She learns computational thinking;He/She gets credentials to get a good job,"Project Management skill;Real-world problem solving handling industry-type problems;Soft skills (communication, teamwork, etc)","I think that a high GPA is not essential, but a low GPA can discourage employers/recruiters.","I think it's not relevant, BS GPA and first job performance are quite disconnected.","I think a top-tier school gives a graduate a bit of a boost, but it's not essential.",3 - 6 months,6 - 12 months,He/She learns computational thinking.;He/She learns project management.;He/She gets credentials to get a good job.,"Real-world problem solving handling industry-type problems;Soft skills (communication, teamwork, etc)","I think that a high GPA is not essential, but a low GPA can discourage employers/recruiters.",1 - 3 months,6 -12 months,I think that the experienced candidate will stand more chances.,"I think that the experienced candidate will perform much better; better quality, and faster work.","I think that the BS candidate will perform much better; better quality, and faster work, better promotion.",I think that the MS candidate will stand more chances.,"I think that the BS experienced candidate will perform much better; better quality, and faster work.","I think that the MS candidate will perform much better; better quality, and faster work, better promotion.","internships, self-motivated projects, project-based courses","internships, self-motivated projects, project-based courses",Retraining on the job.;Massive Open Online Courses (MOOCs);In-person classes in non-academic institutions (e.g. Bradfield school of computer science),"Time. The online program gives the schedule flexibility.;Money. The online program mostly are less expensive than on-campus programs.;Motivation. The topic should be of high interest, not just an imposed training experience.;Career advancement. Success in the program should be a guarantee of a better position.","Regardless of academic degree, anybody entering the workforce for the first time will need training and time to get fully proficient."
,26 - 35,Master's,USA,USA,below 20 employees,"He/She learns programming very well;He/She gets very good soft skills (communication, teamwork, etc)",Learn how to be a researcher;Get credentials and learn skills in finding a good job,"I think that a high GPA is not essential, but a low GPA can discourage employers/recruiters.","I think that low GPA graduates perform badly, but from average to top GPAs you can't see much of a difference.","I think a top-tier school gives a graduate a bit of a boost, but it's not essential.",3 - 6 months,6 - 12 months,"He/She learns programming very well.;He/She learns computational thinking.;He/She learns how to be a researcher.;He/She gets very good soft skills (communication, teamwork, etc).",Real-world problem solving handling industry-type problems,"I think that a high GPA is not essential, but a low GPA can discourage employers/recruiters.",I believe most of them already have an offer before graduation/after interning.,0 - 3 months,I think that the experienced candidate will stand more chances.,They'll perform more or less the same.,"I think that the BS candidate will perform much better; better quality, and faster work, better promotion.",I think that the MS candidate will stand more chances.,"I think that the BS experienced candidate will perform much better; better quality, and faster work.","I think that the MS candidate will perform much better; better quality, and faster work, better promotion.",internship or open source projects,internship or open source projects,Massive Open Online Courses (MOOCs),"Motivation. The topic should be of high interest, not just an imposed training experience.","Regardless of academic degree, anybody entering the workforce for the first time will need training and time to get fully proficient."
,26 - 35,Master's,Ukraine,Remote,"1,000 - 10,000 people",He/She learns computational thinking;He/She learns how to be a researcher;He/She gets credentials to get a good job,"Real-world problem solving handling industry-type problems;Soft skills (communication, teamwork, etc)","I think that a high GPA is not essential, but a low GPA can discourage employers/recruiters.","I think it's not relevant, BS GPA and first job performance are quite disconnected.",I think that a top-tier school makes a graduate fundamentally better at his/her job.,I believe most of them already have an offer before graduation/after interning,More than 2 years,He/She learns computational thinking.;He/She learns how to be a researcher.;He/She gets credentials to get a good job.,"Real-world problem solving handling industry-type problems;Soft skills (communication, teamwork, etc)","I think that a high GPA is not essential, but a low GPA can discourage employers/recruiters.",I believe most of them already have an offer before graduation/after interning.,More than 2 years,I think that the experienced candidate will stand more chances.,"I think that the experienced candidate will perform much better; better quality, and faster work.","I think that the experienced candidate will perform much better; better quality, and faster work, better promotion.",I think the BS experienced candidate will stand more chances.,"I think that the BS experienced candidate will perform much better; better quality, and faster work.","I think that the BS experienced candidate will perform much better; better quality, and faster work, better promotion.",Work,Work,Massive Open Online Courses (MOOCs),Time. The online program gives the schedule flexibility.;Career advancement. Success in the program should be a guarantee of a better position.,"Regardless of academic degree, anybody entering the workforce for the first time will need training and time to get fully proficient."
,18 - 25,Bachelor's,USA,USA,"more than 10,000 people","He/She gets very good soft skills (communication, teamwork, etc);He/She gets credentials to get a good job",Real-world problem solving handling industry-type problems,I think that a high GPA is totally essential to land a great first job.,"I think that low GPA graduates perform badly, but from average to top GPAs you can't see much of a difference.","I think a top-tier school gives a graduate a bit of a boost, but it's not essential.",0 - 3 months,12 - 24 months,He/She learns computational thinking.;He/She learns project management.;He/She learns how to be a researcher.;He/She gets credentials to get a good job.,Computational Thinking skill;Project Management skill;Real-world problem solving handling industry-type problems;Learn how to be a researcher;Get the credentials and learn skills in finding a good job,I think it's not relevant at all.,I don't know/prefer not to disclose,12 - 24 months,I think that the experienced candidate will stand more chances.,They'll perform more or less the same.,They'll perform more or less the same.,I think the BS experienced candidate will stand more chances.,They'll perform more or less the same.,"I think that the BS experienced candidate will perform much better; better quality, and faster work, better promotion.",Give them projects with incomplete requirements. ,Participate in research or complex projects.,Retraining on the job.;Massive Open Online Courses (MOOCs);Consultations with SMEs. ,"Time. The online program gives the schedule flexibility.;Money. The online program mostly are less expensive than on-campus programs.;Motivation. The topic should be of high interest, not just an imposed training experience.","Regardless of academic degree, anybody entering the workforce for the first time will need training and time to get fully proficient."
,36 - 45,Bachelor's,India,India,"more than 10,000 people",He/She learns programming very well;He/She learns computational thinking;He/She learns real-world problem solving handling industry-type problems;He/She learns how to be a researcher;He/She gets credentials to get a good job,"get some hands on experience - open source, personal project on resume","I think that a high GPA is not essential, but a low GPA can discourage employers/recruiters.","It's all in the intent. Scoring not high in BS cannot always point to person's inability to deliver or work hard. So, as long as an individual strives to learn and perform, he/she will do good. But, they won't do so well in R&D like environments.","I think a top-tier school gives a graduate a bit of a boost, but it's not essential.",3 - 6 months,6 - 12 months,He/She learns programming very well.;He/She learns computational thinking.;He/She learns real-world problem solving handling industry-type problems.;He/She learns how to be a researcher.;He/She gets credentials to get a good job.,Project Management skill,"I think that a high GPA is not essential, but a low GPA can discourage employers/recruiters.",I believe most of them already have an offer before graduation/after interning.,6 -12 months,I think that the BS candidate will stand more chances.,"I think that the experienced candidate will perform much better; better quality, and faster work.",They'll perform more or less the same.,I think the BS experienced candidate will stand more chances.,"I think that the BS experienced candidate will perform much better; better quality, and faster work.",They'll perform more or less the same.,"Do some open source work, internship. Basically, show some hands on in resume.","Do some open source work, internship. Basically, show some hands on in resume.",Retraining on the job.,"Time. The online program gives the schedule flexibility.;Money. The online program mostly are less expensive than on-campus programs.;Motivation. The topic should be of high interest, not just an imposed training experience.;Career advancement. Success in the program should be a guarantee of a better position.","Regardless of academic degree, anybody entering the workforce for the first time will need training and time to get fully proficient."
Graduate student,26 - 35,Master's,USA;Germany,USA,"1,000 - 10,000 people",He/She learns programming very well;He/She learns computational thinking;He/She gets credentials to get a good job,"Project Management skill;Soft skills (communication, teamwork, etc)",I think that a high GPA is totally essential to land a great first job.,"I think it's not relevant, BS GPA and first job performance are quite disconnected.",I think it's not relevant at all.,I believe most of them already have an offer before graduation/after interning,6 - 12 months,"He/She learns computational thinking.;He/She learns project management.;He/She learns how to be a researcher.;He/She gets very good soft skills (communication, teamwork, etc).",Programming in different languages;Project Management skill,I think it's not relevant at all.,3 - 6 months,6 -12 months,I think that the experienced candidate will stand more chances.,I don't know/prefer not to disclose.,I don't know/prefer not to disclose.,I don't know/prefer not to disclose.,I don't know/prefer not to disclose.,I don't know/prefer not to disclose.,Internship,Work,Retraining on the job.;Massive Open Online Courses (MOOCs),"Time. The online program gives the schedule flexibility.;Money. The online program mostly are less expensive than on-campus programs.;Motivation. The topic should be of high interest, not just an imposed training experience.;Career advancement. Success in the program should be a guarantee of a better position.","Regardless of academic degree, anybody entering the workforce for the first time will need training and time to get fully proficient."
Graduate student,18 - 25,Bachelor's,USA,USA,below 20 employees,He/She learns computational thinking;He/She learns how to be a researcher;He/She gets credentials to get a good job,"Project Management skill;Real-world problem solving handling industry-type problems;Soft skills (communication, teamwork, etc)","I think that a high GPA is not essential, but a low GPA can discourage employers/recruiters.","I think that the higher the GPA, the better a graduate performs on his job.","I think a top-tier school gives a graduate a bit of a boost, but it's not essential.",3 - 6 months,6 - 12 months,He/She learns computational thinking.;He/She learns how to be a researcher.;He/She gets credentials to get a good job.,"Project Management skill;Real-world problem solving handling industry-type problems;Soft skills (communication, teamwork, etc)",I think it's not relevant at all.,1 - 3 months,6 -12 months,I think that the experienced candidate will stand more chances.,"I think that the experienced candidate will perform much better; better quality, and faster work.",They'll perform more or less the same.,I think the BS experienced candidate will stand more chances.,"I think that the BS experienced candidate will perform much better; better quality, and faster work.",They'll perform more or less the same.,"Get research experience, take internships during the summer","Get research experience, take internships during the summer",Retraining on the job.,"Time. The online program gives the schedule flexibility.;Money. The online program mostly are less expensive than on-campus programs.;Motivation. The topic should be of high interest, not just an imposed training experience.;Career advancement. Success in the program should be a guarantee of a better position.","Regardless of academic degree, anybody entering the workforce for the first time will need training and time to get fully proficient."
Industry professional,26 - 35,Master's,Russia,Hong Kong,20 - 100 people,I don't know/prefer not to disclose,"Real-world problem solving handling industry-type problems;Soft skills (communication, teamwork, etc);Get credentials and learn skills in finding a good job",I think it's not relevant at all.,"I think that low GPA graduates perform badly, but from average to top GPAs you can't see much of a difference.",I don't know/prefer not to disclose.,0 - 3 months,More than 2 years,I don't know/prefer not to disclose,"Real-world problem solving handling industry-type problems;Soft skills (communication, teamwork, etc);Get the credentials and learn skills in finding a good job",I think it's not relevant at all.,1 - 3 months,More than 2 years,I think that the experienced candidate will stand more chances.,"I think that the experienced candidate will perform much better; better quality, and faster work.","I think that the experienced candidate will perform much better; better quality, and faster work, better promotion.",I think the BS experienced candidate will stand more chances.,"I think that the BS experienced candidate will perform much better; better quality, and faster work.","I think that the BS experienced candidate will perform much better; better quality, and faster work, better promotion.",Do side/open source projects,Do side/open source projects,Retraining on the job.;Massive Open Online Courses (MOOCs),I don't know/prefer not to disclose,"Regardless of academic degree, anybody entering the workforce for the first time will need training and time to get fully proficient."
Graduate student;Industry professional,26 - 35,Bachelor's,USA,USA,"1,000 - 10,000 people",He/She learns computational thinking,"Programming in different languages;Soft skills (communication, teamwork, etc)","I think that a high GPA is not essential, but a low GPA can discourage employers/recruiters.","I think that low GPA graduates perform badly, but from average to top GPAs you can't see much of a difference.",I think it's not relevant at all.,0 - 3 months,3 - 6 months,He/She learns computational thinking.;He/She learns how to be a researcher.,Real-world problem solving handling industry-type problems,I think it's not relevant at all.,I believe most of them already have an offer before graduation/after interning.,3 - 6 months,I think that they're more or less have equal chances of getting hired.,"I think that the experienced candidate will perform much better; better quality, and faster work.",They'll perform more or less the same.,I think the BS experienced candidate will stand more chances.,"I think that the BS experienced candidate will perform much better; better quality, and faster work.","I think that the MS candidate will perform much better; better quality, and faster work, better promotion.",,,Retraining on the job.;In-person classes in non-academic institutions (e.g. Bradfield school of computer science),Time. The online program gives the schedule flexibility.;Money. The online program mostly are less expensive than on-campus programs.,"Regardless of academic degree, anybody entering the workforce for the first time will need training and time to get fully proficient."
Graduate student;Industry professional,26 - 35,Bachelor's,USA,USA,20 - 100 people,He/She learns computational thinking;He/She gets credentials to get a good job,"Project Management skill;Real-world problem solving handling industry-type problems;Soft skills (communication, teamwork, etc)","I think that a high GPA is not essential, but a low GPA can discourage employers/recruiters.","I think it's not relevant, BS GPA and first job performance are quite disconnected.","I think a top-tier school gives a graduate a bit of a boost, but it's not essential.",0 - 3 months,12 - 24 months,He/She learns project management.;He/She learns real-world problem solving handling industry-type problems.;He/She learns how to be a researcher.;He/She gets credentials to get a good job.,I don't know/prefer not to disclose,"I think that a high GPA is not essential, but a low GPA can discourage employers/recruiters.",I believe most of them already have an offer before graduation/after interning.,3 - 6 months,I think that the experienced candidate will stand more chances.,"I think that the experienced candidate will perform much better; better quality, and faster work.","I think that the experienced candidate will perform much better; better quality, and faster work, better promotion.",I think that they're more or less have equal chances of getting hired.,"I think that the BS experienced candidate will perform much better; better quality, and faster work.",They'll perform more or less the same.,"Internships, contributing to open source projects",Contributing to open source projects,Retraining on the job.;Massive Open Online Courses (MOOCs),Time. The online program gives the schedule flexibility.;Money. The online program mostly are less expensive than on-campus programs.,"Regardless of academic degree, anybody entering the workforce for the first time will need training and time to get fully proficient."
Graduate student;Industry professional,18 - 25,Bachelor's,USA,USA,"more than 10,000 people",He/She learns computational thinking;He/She learns project management;He/She gets credentials to get a good job,"Professional development skills: working with frameworks, testing, architecture, etc.","I think that a high GPA is not essential, but a low GPA can discourage employers/recruiters.",I don't know/prefer not to disclose.,"I think a top-tier school gives a graduate a bit of a boost, but it's not essential.",0 - 3 months,12 - 24 months,"He/She learns programming very well.;He/She learns computational thinking.;He/She learns project management.;He/She learns how to be a researcher.;He/She gets very good soft skills (communication, teamwork, etc).;He/She gets credentials to get a good job.","Professional development skills: working with frameworks, testing, architecture, etc.","I think that a high GPA is not essential, but a low GPA can discourage employers/recruiters.",1 - 3 months,12 - 24 months,I think that the BS candidate will stand more chances.,They'll perform more or less the same.,I don't know/prefer not to disclose.,I think that the MS candidate will stand more chances.,I don't know/prefer not to disclose.,I don't know/prefer not to disclose.,Internships and part time on campus jobs,Part-time graduate programs can help make this possible,Retraining on the job.;Massive Open Online Courses (MOOCs);In-person classes in non-academic institutions (e.g. Bradfield school of computer science),"Time. The online program gives the schedule flexibility.;Money. The online program mostly are less expensive than on-campus programs.;Motivation. The topic should be of high interest, not just an imposed training experience.;Career advancement. Success in the program should be a guarantee of a better position.","Regardless of academic degree, anybody entering the workforce for the first time will need training and time to get fully proficient."
Graduate student,36 - 45,Bachelor's,USA,USA,"1,000 - 10,000 people",He/She gets credentials to get a good job,"Programming in different languages;Computational Thinking skill;Project Management skill;Real-world problem solving handling industry-type problems;Learn how to be a researcher;Soft skills (communication, teamwork, etc)","I think that a high GPA is not essential, but a low GPA can discourage employers/recruiters.","I think it's not relevant, BS GPA and first job performance are quite disconnected.","I think a top-tier school gives a graduate a bit of a boost, but it's not essential.",6 - 12 months,12 - 24 months,He/She gets credentials to get a good job.,"Programming in different languages;Computational Thinking skill;Project Management skill;Real-world problem solving handling industry-type problems;Learn how to be a researcher;Soft skills (communication, teamwork, etc)",I think it's not relevant at all.,3 - 6 months,12 - 24 months,I think that they're more or less have equal chances of getting hired.,"I think that the experienced candidate will perform much better; better quality, and faster work.","I think that the experienced candidate will perform much better; better quality, and faster work, better promotion.",I think the BS experienced candidate will stand more chances.,They'll perform more or less the same.,They'll perform more or less the same.,,,Retraining on the job.;Better undergrad training,Time. The online program gives the schedule flexibility.;Money. The online program mostly are less expensive than on-campus programs.,"Regardless of academic degree, anybody entering the workforce for the first time will need training and time to get fully proficient."
Industry professional,56 - 65,Bachelor's,USA,USA,"100 - 1,000 people",He/She learns programming very well;He/She learns how to be a researcher,"Computational Thinking skill;Real-world problem solving handling industry-type problems;Learn how to be a researcher;Soft skills (communication, teamwork, etc)","I think that a high GPA is not essential, but a low GPA can discourage employers/recruiters.","I think that low GPA graduates perform badly, but from average to top GPAs you can't see much of a difference.","I think a top-tier school gives a graduate a bit of a boost, but it's not essential.",0 - 3 months,6 - 12 months,"He/She learns computational thinking.;He/She learns project management.;He/She learns real-world problem solving handling industry-type problems.;He/She gets very good soft skills (communication, teamwork, etc).;He/She gets credentials to get a good job.","Real-world problem solving handling industry-type problems;Soft skills (communication, teamwork, etc)","I think that a high GPA is not essential, but a low GPA can discourage employers/recruiters.",I believe most of them already have an offer before graduation/after interning.,3 - 6 months,I think that the experienced candidate will stand more chances.,They'll perform more or less the same.,"I think that the BS candidate will perform much better; better quality, and faster work, better promotion.",I think the BS experienced candidate will stand more chances.,"I think that the BS experienced candidate will perform much better; better quality, and faster work.",They'll perform more or less the same.,Intern or gain some practical experience with real world software.,Same as above.,Massive Open Online Courses (MOOCs),"Motivation. The topic should be of high interest, not just an imposed training experience.","Regardless of academic degree, anybody entering the workforce for the first time will need training and time to get fully proficient."
Graduate student;Industry professional,26 - 35,Bachelor's,USA,USA,"100 - 1,000 people",He/She learns computational thinking;He/She gets credentials to get a good job,Programming in different languages;Computational Thinking skill;Real-world problem solving handling industry-type problems,I think that a high GPA is totally essential to land a great first job.,"I think that low GPA graduates perform badly, but from average to top GPAs you can't see much of a difference.",I think it's not relevant at all.,I believe most of them already have an offer before graduation/after interning,3 - 6 months,He/She learns computational thinking.;He/She learns how to be a researcher.;He/She gets credentials to get a good job.,Programming in different languages;Real-world problem solving handling industry-type problems,"I think that a high GPA is not essential, but a low GPA can discourage employers/recruiters.",I believe most of them already have an offer before graduation/after interning.,0 - 3 months,I think that the BS candidate will stand more chances.,"I think that the experienced candidate will perform much better; better quality, and faster work.",They'll perform more or less the same.,I don't know/prefer not to disclose.,"I think that the BS experienced candidate will perform much better; better quality, and faster work.",They'll perform more or less the same.,"Students can work full or part time while attending school or work in internships over the summer.  They could also volunteer to work on projects for local nonprofits, government groups, etc.","Students can work full or part time while attending school or work in internships over the summer.  They could also volunteer to work on projects for local nonprofits, government groups, etc.",Retraining on the job.;Massive Open Online Courses (MOOCs);In-person classes in non-academic institutions (e.g. Bradfield school of computer science),Time. The online program gives the schedule flexibility.;Money. The online program mostly are less expensive than on-campus programs.;Career advancement. Success in the program should be a guarantee of a better position.,"Regardless of academic degree, anybody entering the workforce for the first time will need training and time to get fully proficient."
Industry professional,56 - 65,Master's,USA,USA,"100 - 1,000 people",He/She learns programming very well;He/She gets credentials to get a good job,Real-world problem solving handling industry-type problems;Learn how to be a researcher;Today's developers seem to lack good troubleshooting and debugging skills.  They should be able to do both an app snd OS crash analysis to find the root cause.,"I think that a high GPA is not essential, but a low GPA can discourage employers/recruiters.","I think that low GPA graduates perform badly, but from average to top GPAs you can't see much of a difference.",I think it's not relevant at all.,0 - 3 months,6 - 12 months,He/She learns programming very well.;He/She learns computational thinking.;He/She learns how to be a researcher.,Same answer that I gave for the undergraduate.,"I think that a high GPA is not essential, but a low GPA can discourage employers/recruiters.",1 - 3 months,6 -12 months,I think that they're more or less have equal chances of getting hired.,"I think that the experienced candidate will perform much better; better quality, and faster work.",They'll perform more or less the same.,I think that the MS candidate will stand more chances.,"I think that the MS candidate will perform much better; better quality, and faster work.","I think that the MS candidate will perform much better; better quality, and faster work, better promotion.","Simulate working as a dev team, by grouping students together into a team and assign a real world project for the team to work together on.",Same as undergraduate answer.,Retraining on the job.;Massive Open Online Courses (MOOCs);In-person classes in non-academic institutions (e.g. Bradfield school of computer science),Time. The online program gives the schedule flexibility.,"Regardless of academic degree, anybody entering the workforce for the first time will need training and time to get fully proficient."
Graduate student,26 - 35,Bachelor's,USA,USA,"1,000 - 10,000 people",He/She learns programming very well;He/She learns computational thinking;He/She gets credentials to get a good job,"Project Management skill;Real-world problem solving handling industry-type problems;Soft skills (communication, teamwork, etc)","I think that a high GPA is not essential, but a low GPA can discourage employers/recruiters.","I think that low GPA graduates perform badly, but from average to top GPAs you can't see much of a difference.","I think a top-tier school gives a graduate a bit of a boost, but it's not essential.",3 - 6 months,6 - 12 months,He/She learns programming very well.;He/She learns computational thinking.,Computational Thinking skill,I think it's not relevant at all.,1 - 3 months,3 - 6 months,I think that the experienced candidate will stand more chances.,"I think that the experienced candidate will perform much better; better quality, and faster work.","I think that the experienced candidate will perform much better; better quality, and faster work, better promotion.",I think that they're more or less have equal chances of getting hired.,They'll perform more or less the same.,They'll perform more or less the same.,Internship,Research or Internship,Massive Open Online Courses (MOOCs);In-person classes in non-academic institutions (e.g. Bradfield school of computer science),Time. The online program gives the schedule flexibility.;Money. The online program mostly are less expensive than on-campus programs.;Career advancement. Success in the program should be a guarantee of a better position.,"Regardless of academic degree, anybody entering the workforce for the first time will need training and time to get fully proficient."
Industry professional,36 - 45,Bachelor's,Colombia,Colombia,"100 - 1,000 people",He/She learns programming very well;He/She gets credentials to get a good job,"Computational Thinking skill;Real-world problem solving handling industry-type problems;Soft skills (communication, teamwork, etc)",I think it's not relevant at all.,"I think it's not relevant, BS GPA and first job performance are quite disconnected.","I think a top-tier school gives a graduate a bit of a boost, but it's not essential.",0 - 3 months,3 - 6 months,He/She learns computational thinking.;He/She learns real-world problem solving handling industry-type problems.;He/She learns how to be a researcher.,"Soft skills (communication, teamwork, etc)",I think it's not relevant at all.,1 - 3 months,0 - 3 months,I think that they're more or less have equal chances of getting hired.,"I think that the experienced candidate will perform much better; better quality, and faster work.","I think that the BS candidate will perform much better; better quality, and faster work, better promotion.",I think that they're more or less have equal chances of getting hired.,"I think that the BS experienced candidate will perform much better; better quality, and faster work.","I think that the MS candidate will perform much better; better quality, and faster work, better promotion.",Committing to extra-curricular activities,part time jobs,Retraining on the job.;Massive Open Online Courses (MOOCs);In-person classes in non-academic institutions (e.g. Bradfield school of computer science),Time. The online program gives the schedule flexibility.;Money. The online program mostly are less expensive than on-campus programs.;Career advancement. Success in the program should be a guarantee of a better position.,"Regardless of academic degree, anybody entering the workforce for the first time will need training and time to get fully proficient."
